Wind Speed,Enercon.E112.4500,Vestas.V136.3450
5.39,0.115067,0.179606
5.4,0.115758,0.180696
5.41,0.115858,0.181786
5.42,0.116552,0.182875
5.43,0.117248,0.183965
5.44,0.117948,0.185055
5.45,0.119252,0.186145
5.46,0.119958,0.187235
5.47,0.12006,0.188325
5.48,0.120768,0.189414
5.49,0.12148,0.190504
5.5,0.122194,0.191594
5.51,0.12291,0.192696
5.52,0.123629,0.193797
5.53,0.12497,0.194899
5.54,0.125073,0.196
5.55,0.1258,0.197101
5.56,0.126528,0.198203
5.57,0.127259,0.199304
5.58,0.127993,0.200406
5.59,0.128729,0.201507
5.6,0.129467,0.202609
5.61,0.130209,0.20371
5.62,0.130952,0.204812
5.63,0.131698,0.205913
5.64,0.132446,0.207014
5.65,0.133198,0.208116
5.66,0.133952,0.209217
5.67,0.134708,0.210319
5.68,0.135465,0.21142
5.69,0.136226,0.212522
5.7,0.13699,0.213623
5.71,0.138417,0.214725
5.72,0.139187,0.215826
5.73,0.13996,0.216928
5.74,0.140736,0.218029
5.75,0.140845,0.21913
5.76,0.141624,0.220232
5.77,0.142405,0.221333
5.78,0.143864,0.222435
5.79,0.144652,0.223536
5.8,0.145443,0.224638
5.81,0.146236,0.225739
5.82,0.146348,0.226841
5.83,0.147144,0.227942
5.84,0.147942,0.229043
5.85,0.148743,0.230145
5.86,0.15024,0.231246
5.87,0.151048,0.232348
5.88,0.151859,0.233449
5.89,0.151972,0.234551
5.9,0.152785,0.235652
5.91,0.153602,0.236754
5.92,0.15442,0.237855
5.93,0.155241,0.238957
5.94,0.156065,0.240058
5.95,0.157604,0.241159
5.96,0.157719,0.242261
5.97,0.15855,0.243362
5.98,0.159383,0.244464
5.99,0.160219,0.245565
6,0.161058,0.246667
6.01,0.162626,0.248191
6.02,0.162741,0.249716
6.03,0.163588,0.251241
6.04,0.164435,0.252765
6.05,0.165287,0.25429
6.06,0.16614,0.255814
6.07,0.166996,0.257339
6.08,0.168597,0.258864
6.09,0.168715,0.260388
6.1,0.169578,0.261913
6.11,0.170443,0.263438
6.12,0.172063,0.264962
6.13,0.172183,0.266487
6.14,0.173811,0.268012
6.15,0.173931,0.269536
6.16,0.174809,0.271061
6.17,0.176452,0.272586
6.18,0.176572,0.27411
6.19,0.178224,0.275635
6.2,0.178345,0.277159
6.21,0.180007,0.278684
6.22,0.180128,0.280209
6.23,0.181799,0.281733
6.24,0.182698,0.283258
6.25,0.182821,0.284783
6.26,0.184505,0.286307
6.27,0.184627,0.287832
6.28,0.186321,0.289357
6.29,0.186443,0.290881
6.3,0.187356,0.292406
6.31,0.18827,0.29393
6.32,0.189186,0.295455
6.33,0.190904,0.29698
6.34,0.191027,0.298504
6.35,0.192754,0.300029
6.36,0.192877,0.301554
6.37,0.193806,0.303078
6.38,0.194736,0.304603
6.39,0.19567,0.306128
6.4,0.196605,0.307652
6.41,0.197544,0.309177
6.42,0.199302,0.310701
6.43,0.199427,0.312226
6.44,0.201194,0.313751
6.45,0.201319,0.315275
6.46,0.202269,0.3168
6.47,0.203221,0.318325
6.48,0.204176,0.319849
6.49,0.205965,0.321374
6.5,0.206091,0.322899
6.51,0.207052,0.324423
6.52,0.208016,0.325948
6.53,0.208981,0.327472
6.54,0.209949,0.328997
6.55,0.211766,0.330522
6.56,0.211892,0.332046
6.57,0.213717,0.333571
6.58,0.214696,0.335096
6.59,0.214822,0.33662
6.6,0.216661,0.338145
6.61,0.216788,0.33967
6.62,0.218635,0.341194
6.63,0.218762,0.342719
6.64,0.220618,0.344243
6.65,0.220744,0.345768
6.66,0.221739,0.347293
6.67,0.223608,0.348817
6.68,0.223735,0.350342
6.69,0.225612,0.351867
6.7,0.225739,0.353391
6.71,0.226745,0.354916
6.72,0.227752,0.356441
6.73,0.228762,0.357965
6.74,0.23066,0.35949
6.75,0.230787,0.361014
6.76,0.232694,0.362539
6.77,0.232822,0.364064
6.78,0.233842,0.365588
6.79,0.234864,0.367113
6.8,0.235888,0.368638
6.81,0.236913,0.370162
6.82,0.237942,0.371687
6.83,0.239877,0.373212
6.84,0.240005,0.374736
6.85,0.241039,0.376261
6.86,0.242075,0.377786
6.87,0.243113,0.37931
6.88,0.244154,0.380835
6.89,0.245195,0.382359
6.9,0.246239,0.383884
6.91,0.247286,0.385409
6.92,0.248334,0.386933
6.93,0.249383,0.388458
6.94,0.250435,0.389983
6.95,0.251488,0.391507
6.96,0.253474,0.393032
6.97,0.253601,0.394557
6.98,0.254661,0.396081
6.99,0.256658,0.397606
7,0.256785,0.39913
7.01,0.258789,0.401107
7.02,0.258916,0.403084
7.03,0.260928,0.405061
7.04,0.261054,0.407038
7.05,0.262127,0.409014
7.06,0.2632,0.410991
7.07,0.264276,0.412968
7.08,0.266305,0.414945
7.09,0.266432,0.416922
7.1,0.268468,0.418899
7.11,0.268594,0.420875
7.12,0.269678,0.422852
7.13,0.270764,0.424829
7.14,0.271851,0.426806
7.15,0.273905,0.428783
7.16,0.274031,0.430759
7.17,0.276092,0.432736
7.18,0.276217,0.434713
7.19,0.277312,0.43669
7.2,0.278408,0.438667
7.21,0.279508,0.440643
7.22,0.280608,0.44262
7.23,0.281708,0.444597
7.24,0.283793,0.446574
7.25,0.283916,0.448551
7.26,0.285023,0.450528
7.27,0.28613,0.452504
7.28,0.28724,0.454481
7.29,0.28835,0.456458
7.3,0.289462,0.458435
7.31,0.290575,0.460412
7.32,0.29169,0.462388
7.33,0.292806,0.464365
7.34,0.293924,0.466342
7.35,0.295043,0.468319
7.36,0.296163,0.470296
7.37,0.298287,0.472272
7.38,0.298407,0.474249
7.39,0.300537,0.476226
7.4,0.301664,0.478203
7.41,0.301785,0.48018
7.42,0.303922,0.482157
7.43,0.304042,0.484133
7.44,0.306185,0.48611
7.45,0.306304,0.488087
7.46,0.307437,0.490064
7.47,0.308572,0.492041
7.48,0.309707,0.494017
7.49,0.311864,0.495994
7.5,0.311981,0.497971
7.51,0.314143,0.499942
7.52,0.31426,0.501913
